--- 01-2nd_wk.retail.csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Variety,,,2019,2020,,"% Change 2nd  week September 2020, compared to:",,,,
Sinhala Name,,Common Name,2nd week September,1st week September,2nd week September,Last week ,Last Year,,,
,,,,,,,,,පොතුබරි,166.66666666666666
,,,,,,,,,මෝදා,700.0
,,,,,,,,,කිරලාවා,
,,,,,,,,,මඩුවා (ලොකු),337.5
,,,,,,,,,මඩුවා (මධ්‍යම),325.0
,,,,,,,,,මඩුවා (කුඩා),
,,,,,,,,,පානතඹුවා,
,,,,,,,,,ශුද්ධ කොයි,
,,,,,,,,,කුම්බලාවා,390.0
,,,,,,,,,බෝල්ලා,382.85714285714283
,,,,,,,,,හැඩැල්ලා,750.0
,,,,,,,,,සුරා පරව්,405.0
,,,,,,,,,සුරා පරව් (S),
,,,,,,,,,දිවුලා,
,,,,,,,,,හිරි කනයා,
,,,,,,,,,ලූලා,
,,,,,,,,,බයිටා,
,,,,,,,,,අංජිලා ,
,,,,,,,,,මූදිල්ලා,
,,,,,,,,,දැල්ලා(ලොකු),
,,,,,,,,,දැල්ලා(මධ්‍යම),
,,,,,,,,,කුම්බලාවා (S),
,,,,,,,,,බෝල්ලා (S),
