--- 01-RETAIL.csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Variety,,,2019,2020,,"% Change 4th  week September 2020, compared to:",,,,
Sinhala Name,,Common Name,4th week September,3rd week September,4th week September,Last week ,Last Year,,,
17,ඇටවල්ලා,Atawalla,375,410,423,0.03170731707317073,0.128,,,කෙලවල්ලා (මධ්‍යම),641.6666666666666,,කෙලවල්ලා (මධ්‍යම),0,0
18,ඇටිස්සා,Red Bream,700,720,726,0.008333333333333333,0.037142857142857144,,,කෙලවල්ලා (කුඩා),543.3333333333334,,කෙලවල්ලා (කුඩා),625,650
19,බෝල්ලා,Big eye scade,309.17,346.6666666666667,392,0.13076923076923072,0.2679108581039557,,, කෙන්දා (බොකු සහිත) ,664.0,, කෙන්දා (බොකු සහිත) ,640,707.1428571428571
20,ගින්නටි පරව්,Ginnati Paraw,630,626,697,0.1134185303514377,0.10634920634920635,,, කෙන්දා (G) ,712.0,, කෙන්දා (G) ,650,0
21,හබරලි,Needle fish,486.43,552.5,591,0.06968325791855204,0.2149744053615114,,,තලපත් (ලොකු),586.6666666666666,,තලපත් (ලොකු),840,735
22,හැඩැල්ලා,Indian Anchovies,721.43,983.3333333333334,971,-0.01254237288135597,0.34593792883578456,,,තලපත් (කුඩා),730.0,,තලපත් (කුඩා),0,882
23,ජීලාවා,Barracuda,700,516.6666666666666,0,,,,,තලපත් (wet),775.0,,තලපත් (wet),920,930
24,ලින්නා,Indian Scad,325.71,265,275,0.03773584905660377,-0.15569064505234712,,,කොප්පරා (wet),864.0,,කොප්පරා (wet),0,900
25,ලේන පරව්,Rainbow Runner,375,365,350.83,-0.038821917808219225,-0.06445333333333338,,,කොප්පරා,786.6666666666666,,කොප්පරා,835,913.3333333333334
26,සුද්දා,Threadfin  Bream,458.33,429.1666666666667,396.66,-0.07574368932038833,-0.13455370584513335,,,මෝරු (ශුද්ධ),588.3333333333334,,මෝරු (ශුද්ධ),570,605
27,සූඩයා,White Sardinella,143.33,124,138.33,0.11556451612903236,-0.03488453219842322,,,කිරි මෝරා,450.0,,කිරි මෝරා,650,550
28,දැල්ලා,Squids /Cuttle fish,875,737.5,736.43,-0.0014508474576271865,-0.15836571428571433,,,ගල් මාළු (ලොකු),475.0,,ගල් මාළු (ලොකු),0,0
29,කකුළුවා,Sea Crabs,600,675,705,0.044444444444444446,0.175,,,ගල් මාළු (කුඩා),,,ගල් මාළු (කුඩා),0,0
30,තිලාපියා,Tilapia (M),362.5,395,426,0.07848101265822785,0.17517241379310344,,,රතු ගල් මාළු ,,,රතු ගල් මාළු ,0,625
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,කොස්සා,450.0,,කොස්සා,0,700
,,,,,,,,,,ඇටිස්සා (මධ්‍යම),640.0,,ඇටිස්සා (මධ්‍යම),0,0
